"nome","idade","sexo","cpf","escolaridade","data_nasc"
"Milena Macedo",73,"M","","Graduação","1969-05-29"
"Anna Liz Castro",63,"F","321.709.486-78","Graduação",""
"Igor da Paz",37,"F","123.456.789-00","Mestrado","1963-12-27"
"Clarice da Mata","","Outro","","","32/13/2000"
"Sra. Maria Luiza da Mata",52,"M","","","1967-06-19"
"Caleb da Conceição",78,"F","","Graduação",""
"Pedro Henrique Porto",47,"M","123.456.789-00","Mestrado",""
"Dr. Thales da Paz",53,"Outro","","",""
"Agatha Ribeiro","","M","876.014.235-90","Graduação","32/13/2000"
"Gustavo da Mata",51,"M","","Graduação",""
"Yuri Albuquerque","","","861.703.524-26","Mestrado","32/13/2000"
"Sra. Sophia Santos",50,"","467.318.590-01","Doutorado","32/13/2000"
"Srta. Ana Lívia da Mota","","M","","Doutorado",""
"Zoe Mendes","","Outro","","",""
"Ana Clara Dias","","Outro","123.456.789-00","Ensino Médio",""
"Luísa Brito","","F","","Mestrado","1943-07-29"
"Julia Fernandes","","F","","",""
"Ana Lívia da Costa","","","123.456.789-00","Doutorado",""
"Luan Vieira","","M","","Doutorado",""
"Erick Barros",29,"Outro","123.456.789-00","","32/13/2000"
"Anthony Martins",36,"M","123.456.789-00","Mestrado","1967-06-06"
"Liz Costa","","","123.456.789-00","",""
"Miguel da Mota","","F","123.456.789-00","","1967-07-02"
"Cecilia Pires","","F","123.456.789-00","",""
"Luan Souza","","F","623.148.509-98","Mestrado","32/13/2000"
"Lucca Camargo","","","","",""
"Vitor Gabriel Campos","","","","Ensino Médio",""
"Luan Pimenta","","F","","",""
"Thales Camargo","","","132.867.540-80","",""
"Beatriz Mendonça","","Outro","","Doutorado","1965-07-11"
"Sr. Léo Nogueira",35,"F","","","32/13/2000"
"Lucas Gabriel da Cruz",45,"","","Graduação",""
"Agatha da Mota",71,"F","","Mestrado","1982-02-23"
"Lorenzo Almeida","","M","","Graduação",""
"Maria Cecília Moraes","","","123.456.789-00","Mestrado","32/13/2000"
"Ana Araújo","","","768.503.492-10","Mestrado",""
"Clara Azevedo","","F","","Ensino Médio","1946-11-21"
"Srta. Helena Lopes","","","736.285.490-00","Ensino Fundamental",""
"Luara Rios","","F","452.830.967-00","Graduação",""
"Marcelo Cardoso",59,"","","Graduação",""
"Leonardo Fogaça","","Outro","183.957.604-93","Mestrado","1983-06-01"
"João Lucas Oliveira",87,"Outro","123.456.789-00","","1975-06-11"
"Dr. André Cirino",23,"F","123.456.789-00","","1984-08-03"
"Mirella Fernandes",37,"F","","","1954-10-24"
"Ana Julia Rocha",90,"","","",""
"Bruna Ferreira","","","614.597.328-55","","32/13/2000"
"Miguel Peixoto",57,"","093.215.647-99","Graduação",""
"Theo Souza","","F","628.341.705-17","Doutorado","32/13/2000"
"Allana Marques","","Outro","156.438.209-51","","1936-03-24"
"Sr. Raul Sales","","","","Ensino Fundamental",""
"Miguel das Neves","","","539.610.428-70","Mestrado",""
"Sr. Isaac Caldeira","","F","","Ensino Médio",""
"Melissa Rodrigues","","","","",""
"Ana Laura Fogaça",59,"M","","Mestrado","32/13/2000"
"Ayla Pimenta","","","","Graduação","1977-02-24"
"Olívia Montenegro","","F","","Ensino Médio",""
"Valentina Moreira","","Outro","","Doutorado","1978-12-08"
"Lucas Brito",84,"M","123.456.789-00","",""
"Dr. Matteo Cardoso","","F","","",""
"Maria Cecília Almeida",75,"M","","Ensino Médio",""
"Juan Viana","","","","Mestrado",""
"Fernando Sales","","","","Graduação",""
"Vitor da Costa","","Outro","123.456.789-00","Ensino Fundamental","32/13/2000"
"Vitória Leão",58,"","123.456.789-00","Ensino Médio","32/13/2000"
"João Miguel Barros","","","","Ensino Fundamental","32/13/2000"
"Oliver Aragão",55,"Outro","123.456.789-00","Graduação","1976-10-05"
"Lucas Gabriel Vieira",86,"Outro","290.831.547-50","Ensino Fundamental",""
"José Miguel Cunha","","","286.091.573-77","","1965-11-03"
"Natália Azevedo","","","","Graduação","32/13/2000"
"Agatha Pimenta","","","536.190.248-98","","1986-07-13"
"Ana Clara Porto","","M","654.802.913-51","Ensino Médio","32/13/2000"
"Lívia Carvalho","","M","123.456.789-00","Ensino Fundamental",""
"Benício Silva","","","","Mestrado",""
"Ísis Melo","","","403.268.519-33","Doutorado","1983-06-24"
"Maria Liz Souza","","F","","","1944-08-19"
"Sra. Anna Liz Lopes",38,"F","924.805.631-89","Ensino Médio","1975-02-07"
"Mariane Cavalcante","","","","Graduação","1943-08-09"
"Maria Luiza Fonseca","","Outro","","Ensino Fundamental","32/13/2000"
"Maria Clara Fonseca","","","123.456.789-00","Mestrado","1952-02-17"
"Maria Clara Gonçalves",87,"F","","","32/13/2000"
"José Pedro Santos",27,"F","","Doutorado",""
"Pedro Miguel Borges",74,"","","",""
"Heloisa Campos","","","","Mestrado","1997-01-01"
"Caroline Pimenta","","Outro","","Ensino Fundamental","1950-06-13"
"Sr. Rael Martins","","","852.649.103-24","",""
"Davi Moreira",23,"","","Graduação","32/13/2000"
"Gael Henrique Porto","","","842.579.063-83","Mestrado",""
"Lucca Nunes","","Outro","091.854.236-70","","32/13/2000"
"Ana Monteiro","","","","",""
"Pedro Lucas Leão",88,"","793.241.685-09","Graduação",""
"Caroline Teixeira",59,"","581.273.096-21","",""
"Calebe Aragão",70,"F","","Doutorado",""
"Nina Monteiro",74,"F","","Doutorado","32/13/2000"
"Benicio da Paz","","","794.805.361-10","Ensino Fundamental","32/13/2000"
"Maria Clara Aparecida","","","603.249.815-89","Doutorado",""
"Bárbara Cardoso",29,"M","","Ensino Fundamental","32/13/2000"
"Sarah Aparecida","","Outro","","Mestrado",""
"Luiza Castro",78,"","123.456.789-00","Mestrado","32/13/2000"
"Léo Farias","","F","164.850.397-75","Graduação",""
"Pietra Cavalcante","","Outro","862.951.073-03","Graduação",""
"Pedro Lucas Dias",80,"","","Graduação",""
"Giovanna Novais","","","","Graduação","32/13/2000"
"Rafaela Correia","","","123.456.789-00","",""
"Marcela Novais","","","","Mestrado","32/13/2000"
"Asafe da Paz",81,"F","","","1970-05-11"
"Cauê Pimenta",74,"","","Ensino Fundamental","32/13/2000"
"Noah Farias","","F","712.048.395-14","Mestrado",""
"Gabriela Sá","","","459.806.127-85","",""
"Emanuelly Andrade","","Outro","","","1978-12-28"
"Rafael Ramos",26,"Outro","123.456.789-00","","1978-05-25"
"Raul Ramos",73,"M","","Ensino Médio",""
"Lunna Borges",21,"Outro","612.837.905-21","Graduação",""
"Pietro Sá","","F","123.456.789-00","Doutorado",""
"Dante Martins","","F","123.456.789-00","Ensino Médio","1983-05-31"
"Hellena Câmara","","F","","Doutorado","32/13/2000"
"Bruno Moura","","Outro","","Graduação","1953-10-14"
"Luan Moreira","","","123.456.789-00","Ensino Fundamental",""
"Caroline Moraes","","Outro","","",""
"Srta. Ana Sophia Aparecida","","F","","",""
"Davi Luiz Vargas",31,"","","Doutorado",""
"Felipe Nascimento",55,"","","Ensino Fundamental","1991-02-11"
"Maria Helena da Conceição","","F","","Ensino Médio","32/13/2000"
"Gustavo Azevedo","","F","107.458.926-20","","1988-02-20"
"Isabel Nogueira","","M","","","32/13/2000"
"Diego Ribeiro","","Outro","","Ensino Médio","32/13/2000"
"Luiz Felipe Ramos","","Outro","","","32/13/2000"
"Olívia da Costa","","Outro","","","1986-04-03"
"José Miguel Costela",77,"F","123.456.789-00","",""
"Ana Cecília Barbosa","","M","","Ensino Fundamental",""
"Srta. Pietra da Cruz",86,"","","",""
"Maria Alice das Neves","","Outro","457.306.281-53","","32/13/2000"
"Ana Clara Nunes",78,"","","Doutorado","32/13/2000"
"Sr. Mateus Nunes","","","","",""
"Yago Mendonça",32,"M","280.475.631-90","Graduação",""
"Isabel Azevedo",32,"F","123.456.789-00","Mestrado",""
"André Nascimento","","","","Doutorado","32/13/2000"
"Calebe Moura","","M","","Doutorado",""
"Dr. Raul Nunes",53,"Outro","123.456.789-00","Mestrado",""
"Olívia Araújo","","M","","Doutorado",""
"Renan da Mata","","Outro","123.456.789-00","Ensino Fundamental",""
"Cecília Sá","","F","614.879.325-37","Ensino Fundamental",""
"Srta. Anna Liz Montenegro",49,"","123.456.789-00","Ensino Fundamental","32/13/2000"
"João Gabriel Viana",45,"Outro","123.456.789-00","","1945-01-19"
"Laís da Cruz",53,"F","","","32/13/2000"
"André das Neves","","M","123.456.789-00","Ensino Fundamental",""
"Bella Alves","","Outro","159.462.307-43","Ensino Médio",""
"Antonella Silveira",24,"","832.591.467-09","","1969-12-02"
"Clara Azevedo","","Outro","264.398.015-89","Mestrado","32/13/2000"
"Dra. Sabrina Peixoto","","","","Mestrado","1985-02-03"
"Dr. Lucas Gabriel Lopes","","","","","1987-08-04"
"Dr. Samuel Oliveira","","","356.297.048-00","Ensino Fundamental",""
"Amanda Siqueira",36,"F","","Doutorado",""
"Liz da Costa","","","","Mestrado",""
"Sofia Sales","","M","123.456.789-00","Mestrado",""
"Augusto Nunes","","Outro","","Mestrado",""
"Dr. Ravi Vargas","","","","",""
"Diego Ferreira",65,"","457.619.382-19","Ensino Fundamental","1946-09-04"
"Milena Dias","","M","","","32/13/2000"
"Srta. Stella Cavalcanti",89,"","","","1958-10-04"
"Marina Gonçalves","","","037.485.926-47","Graduação",""
"Benício Oliveira",63,"","123.456.789-00","Ensino Médio",""
"Luara Peixoto",46,"Outro","","Ensino Fundamental",""
"Catarina Dias","","","134.092.578-88","Doutorado",""
"Cecilia Oliveira",21,"Outro","","Graduação",""
"Davi Miguel Cirino",18,"F","","Ensino Fundamental","32/13/2000"
"Sofia Rezende",21,"","123.456.789-00","Mestrado",""
"João Vitor Andrade","","F","","Graduação",""
"Yago Fonseca","","M","807.413.926-31","Ensino Médio","32/13/2000"
"Rael da Luz","","M","","Mestrado",""
"Davi Miguel Viana","","","","Graduação","32/13/2000"
"Sra. Lavínia Oliveira",83,"Outro","","Ensino Fundamental",""
"Diogo Silva","","Outro","536.814.279-09","Ensino Médio",""
"Ana Vitória Porto",25,"F","","Ensino Médio","32/13/2000"
"Sra. Maria Alice Azevedo","","Outro","863.719.254-82","Ensino Fundamental",""
"Caroline Nunes",73,"F","","Doutorado","32/13/2000"
"Agatha Lima","","Outro","324.180.567-08","Mestrado","1983-12-31"
"Eloah Aragão",73,"","643.750.892-29","",""
"Davi Lucca Pastor","","","","Graduação","1998-05-28"
"Ian Gomes",69,"Outro","123.456.789-00","",""
"Vinícius Nunes",64,"","027.851.436-71","Ensino Médio",""
"Carlos Eduardo Carvalho","","M","","",""
"Larissa Vasconcelos",61,"Outro","123.456.789-00","Ensino Fundamental","1973-08-12"
"Ana Júlia Viana","","F","","Graduação","32/13/2000"
"Sr. Mathias Nunes",48,"F","","Ensino Médio","32/13/2000"
"Henrique Aparecida","","M","123.456.789-00","",""
"Zoe Nascimento","","","","",""
"Ana Luiza das Neves",58,"","630.178.594-01","Mestrado",""
"Emanuella Campos","","","029.138.476-50","Graduação","1950-08-31"
"Sra. Bárbara Vargas","","","056.249.738-29","Ensino Fundamental",""
"Sophia Fonseca",54,"M","","Mestrado","1964-06-23"
"Dra. Agatha Aparecida","","F","","Doutorado",""
"Lorenzo da Cruz",82,"M","","Ensino Fundamental",""
"Valentim Aparecida","","F","617.925.408-76","Ensino Médio",""
"Sr. João Vitor Nunes","","","123.456.789-00","Graduação",""
"Nicolas Alves","","","","","1975-03-30"
"Gustavo Moura",60,"Outro","367.012.894-87","Doutorado",""
"Maria Fernanda Marques","","","123.456.789-00","Graduação","1965-08-12"
"José Pedro Dias","","Outro","","Ensino Médio","1948-03-22"
"Cauê Cavalcante","","","","","32/13/2000"
"Julia Campos",85,"","","Ensino Fundamental",""
"Josué Fogaça",57,"F","","",""
"Isadora Brito",42,"F","123.456.789-00","Ensino Fundamental",""
"Sr. José Pedro Barbosa","","","013.578.946-00","",""
"Ana Julia Cavalcante","","","123.456.789-00","Ensino Médio","32/13/2000"
"João Guilherme da Mota","","","720.465.183-90","Mestrado",""
"Pietra Araújo","","","","",""
"Sra. Pietra Nogueira","","F","","",""
"Benjamin Melo","","","","Mestrado",""
"Maria Julia Fogaça","","","","Ensino Médio","32/13/2000"
"Esther Monteiro","","M","","",""
"Pietra Abreu",88,"","532.791.608-12","Graduação","1953-06-29"
"Cecília Vasconcelos","","","123.456.789-00","",""
"Emanuel Siqueira",29,"","","Ensino Fundamental",""
"Juan Cardoso","","","","Ensino Médio",""
"Bella Monteiro","","F","251.798.640-11","Graduação","1979-02-01"
"Alexia da Luz",60,"F","391.260.487-87","Graduação",""
"Sra. Eloah Jesus","","","","Doutorado","1955-07-12"
"Ana Sophia Andrade",28,"Outro","123.456.789-00","","32/13/2000"
"Srta. Ayla Fernandes","","","","Ensino Fundamental",""
"Sr. Gabriel Jesus","","M","894.526.107-94","Ensino Médio",""
"Rebeca Cassiano",76,"M","","Doutorado","1936-11-22"
"Enzo Gabriel Porto","","F","123.456.789-00","Graduação",""
"Yago Gomes","","Outro","123.456.789-00","Doutorado",""
"Henry Gabriel da Mata","","M","","Ensino Fundamental","1989-09-25"
"Heloísa Novaes","","M","","Graduação",""
"Ana Beatriz Montenegro","","M","","Ensino Médio","1950-07-25"
"Otávio Barros",60,"M","","Doutorado",""
"Maria Laura Novaes","","","","","32/13/2000"
"Carlos Eduardo Caldeira",35,"","914.672.385-46","Graduação","32/13/2000"
"Olívia Andrade",23,"M","","Graduação",""
"Srta. Ana Julia Souza","","Outro","745.029.813-97","","32/13/2000"
"Davi Luiz da Rosa","","M","","Graduação","1962-02-28"
"Raquel Teixeira","","","","Mestrado",""
"Ana Cavalcanti","","","","",""
"Dr. Thiago Gonçalves","","","103.274.589-41","Mestrado","32/13/2000"
"Sr. José Pedro Souza","","Outro","140.379.852-41","Ensino Fundamental",""
"Nicolas Moraes","","","","Ensino Médio",""
"Dra. Kamilly Lima","","M","","Doutorado",""
"Thomas Ribeiro","","M","584.290.371-79","",""
"Lunna da Mota","","F","493.186.025-70","Ensino Médio",""
"Cecilia Silveira",22,"M","123.456.789-00","",""
"Sr. Vitor Porto","","","754.619.830-57","Doutorado","32/13/2000"
"José Pedro Silveira","","Outro","","","1990-08-13"
"Dr. José Pedro Pacheco","","Outro","","Graduação",""
"Mateus Moura",49,"M","123.456.789-00","Mestrado",""
"Levi Silva",89,"Outro","","",""
"Kamilly Costela","","Outro","","Ensino Médio","1988-04-16"
"Pietra Gomes",35,"","123.456.789-00","",""
"Alana Pires","","Outro","","","1956-02-14"
"Augusto da Rosa","","Outro","","","32/13/2000"
"Nathan Almeida","","","123.456.789-00","Ensino Fundamental","32/13/2000"
"Jade Vargas",35,"","809.576.423-00","Graduação",""
"Maria Helena Campos","","F","847.516.092-11","Ensino Fundamental",""
"Stephany da Mata","","","","",""
"Fernanda Pereira",27,"Outro","349.257.608-74","Mestrado",""
"Rodrigo Farias","","F","123.456.789-00","","32/13/2000"
"Carlos Eduardo da Cunha","","M","374.290.856-10","Doutorado","32/13/2000"
"Dr. Paulo Sousa",56,"F","","","32/13/2000"
"Srta. Maria Fernanda Fernandes","","Outro","216.379.548-91","Graduação","32/13/2000"
"Eloah Camargo","","F","","Doutorado","1958-01-22"
"Maria Helena Vasconcelos","","F","123.456.789-00","Ensino Médio",""
"Levi Albuquerque",90,"M","835.467.019-84","Ensino Fundamental",""
"Dr. Dom Novais","","","908.514.367-57","Mestrado",""
"Luna da Costa","","F","","Graduação",""
"Melina Oliveira","","M","123.456.789-00","Mestrado",""
"Maria Sophia Andrade","","F","","Doutorado","32/13/2000"
"Dr. Benjamim Câmara","","Outro","","Mestrado","32/13/2000"
"Luigi Fogaça","","","485.706.139-20","Graduação","32/13/2000"
"José Miguel Pimenta",77,"Outro","","Ensino Médio","32/13/2000"
"Ana Clara Porto",30,"Outro","","",""
"Srta. Marina Pacheco",49,"Outro","","Ensino Médio","32/13/2000"
"Maria Isis Leão","","","","Graduação",""
"Sophie da Rosa",20,"","","Ensino Médio","32/13/2000"
"Dra. Emanuelly Montenegro",63,"M","","Mestrado",""
"Otávio Albuquerque","","M","810.397.465-00","Mestrado","32/13/2000"
"José Casa Grande","","Outro","","Graduação","1963-12-02"
"Dra. Maria Julia da Costa",69,"","123.456.789-00","Graduação",""
"Sra. Gabriela Pinto","","","","",""
"Emanuelly Rodrigues",33,"M","","Graduação",""
"Julia Cardoso","","F","123.456.789-00","Doutorado",""
"Liz Mendonça",82,"M","985.072.164-20","Ensino Médio",""
"Oliver Nogueira","","","123.456.789-00","Doutorado","32/13/2000"
"Vinícius Melo","","Outro","123.456.789-00","Mestrado",""
"Luna Garcia","","","","",""
"Melissa Mendonça",78,"Outro","","","1942-04-20"
"Heitor Rodrigues","","Outro","613.457.029-06","Doutorado",""
"Luísa Andrade","","","123.456.789-00","","1968-08-04"
"Maria Julia Machado",79,"","","Ensino Médio","32/13/2000"
"Srta. Maria Alice Montenegro","","M","123.456.789-00","Ensino Fundamental",""
"Eduarda Nascimento","","F","","","32/13/2000"
"Cecília Campos","","","","","1962-03-17"
"Sophie Casa Grande","","F","","",""
"Ana Sophia da Rocha","","Outro","123.456.789-00","Mestrado",""
"Isabela Brito","","Outro","","Ensino Médio","32/13/2000"
"Maria Clara Dias","","Outro","123.456.789-00","Graduação",""
"Luísa Mendes","","","","Mestrado",""
"Vitor Gabriel Costa","","Outro","","Ensino Fundamental",""
"Joana Nogueira","","F","","Ensino Fundamental",""
"Ayla Gonçalves","","","","",""
"Felipe Nunes",45,"","","Doutorado",""
"Sr. Asafe Rios",35,"","123.456.789-00","Ensino Médio","1947-06-10"
"Dra. Kamilly Sousa",85,"F","482.356.790-00","Ensino Fundamental",""
"Marcos Vinicius Câmara","","","865.923.470-74","","32/13/2000"
"Pedro Lucas Cavalcante","","F","","",""
"Luísa Silveira","","F","","Graduação",""
"Augusto Cardoso",25,"","123.456.789-00","Doutorado","1968-07-16"
"Valentim Guerra","","F","904.813.756-00","",""
"Cecília Vieira",81,"Outro","924.158.370-32","Ensino Fundamental",""
"Maria Isis Cardoso","","M","","Graduação",""
"Ana Carolina Viana","","","123.456.789-00","",""
"Maria Eduarda Aparecida",52,"M","","Ensino Médio",""
"José Miguel Mendes","","F","314.769.205-16","",""
"Stephany Campos","","F","123.456.789-00","Doutorado",""
"Isis da Luz","","Outro","865.423.197-19","Mestrado","1957-09-18"
"Dr. José das Neves",41,"","","Ensino Médio","1947-01-14"
"Thomas Guerra","","F","","",""
"Benício da Luz","","","351.409.627-99","Graduação",""
"Thales Macedo",48,"M","","Graduação","32/13/2000"
"Sr. Alexandre Castro","","","","","2003-11-09"
"Bernardo Borges","","","123.456.789-00","Ensino Médio","32/13/2000"
"Erick Jesus",79,"","","Mestrado",""
"Sra. Maria Flor Nunes","","F","123.456.789-00","","1968-06-24"
"Mateus Porto","","","","Ensino Fundamental","1967-03-06"
"Caleb Guerra","","","123.456.789-00","Doutorado","32/13/2000"
"Dra. Esther Monteiro","","","","Ensino Fundamental","32/13/2000"
"Cauê Campos",80,"","","","2000-05-25"
"Kamilly Mendonça",76,"","","Mestrado","1998-06-28"
"Ana Beatriz Montenegro","","Outro","562.304.819-60","Mestrado",""
"Giovanna Garcia","","F","915.246.873-91","Ensino Fundamental",""
"Ravy Pimenta","","M","592.361.874-55","Ensino Fundamental",""
"Lara Machado","","","123.456.789-00","","32/13/2000"
"Diogo Sousa","","","","",""
"José Novais",66,"","123.456.789-00","",""
"Aylla Machado",33,"","","Doutorado","32/13/2000"
"Luiz Fernando Rocha",46,"M","","Mestrado",""
"Mateus Pimenta","","F","123.456.789-00","Mestrado",""
"Enrico Fernandes","","F","358.726.914-91","Ensino Fundamental",""
"Dra. Stephany Machado",20,"F","628.901.473-04","Ensino Fundamental","1944-04-15"
"Enzo Gonçalves","","M","123.456.789-00","","1947-07-15"
"Eduardo Barros","","F","123.456.789-00","","1951-04-04"
"Eloá Alves","","Outro","123.456.789-00","",""
"Dra. Emanuelly Pastor",59,"Outro","123.456.789-00","","32/13/2000"
"Pedro Miguel das Neves","","Outro","564.120.793-43","Doutorado","32/13/2000"
"Ravy Nascimento","","","078.293.645-83","Graduação",""
"Maria Fernanda Correia","","","","Ensino Médio",""
"Otávio Pires",66,"","","Ensino Médio","32/13/2000"
"Davi Luiz da Rocha","","F","","Ensino Fundamental",""
"Benicio Nascimento","","","123.456.789-00","Mestrado","32/13/2000"
"Dom Albuquerque",50,"Outro","735.826.910-12","Mestrado",""
"Diogo Araújo","","F","461.937.852-64","Graduação",""
"Josué Gomes",23,"F","123.456.789-00","Mestrado","32/13/2000"
"Sr. Asafe Souza","","M","123.456.789-00","Ensino Médio","1963-01-12"
"Isaac Porto",79,"","123.456.789-00","Mestrado","32/13/2000"
"Renan Sales","","Outro","","Mestrado",""
"Ana Liz Araújo","","Outro","","Mestrado","1993-02-05"
"Srta. Alícia Sales","","F","","Graduação",""
"Francisco Nogueira","","F","123.456.789-00","Ensino Fundamental",""
"João Nogueira","","","","Graduação","32/13/2000"
"Maria Clara Vasconcelos","","F","","Doutorado","32/13/2000"
"Larissa Duarte","","Outro","","",""
"Cauê Mendonça","","F","","Ensino Médio","32/13/2000"
"Sr. Brayan Albuquerque","","F","371.950.268-68","Doutorado","1983-08-15"
"Srta. Juliana Moura","","M","014.987.632-78","Mestrado","32/13/2000"
"Esther Correia",47,"F","832.456.970-74","Ensino Médio",""
"Natália Sampaio",65,"","","",""
"Melina Fogaça",20,"","","Ensino Fundamental","1966-02-25"
"Ísis Cunha","","Outro","","Ensino Fundamental",""
"Allana Moreira",40,"M","123.456.789-00","Ensino Médio","32/13/2000"
"Daniela Brito","","Outro","","",""
"Kaique Borges","","","","Doutorado","32/13/2000"
"Letícia Andrade","","M","961.802.473-31","Ensino Fundamental",""
"Anthony Porto","","","","Ensino Fundamental","1954-03-29"
"Matteo Machado",39,"","","",""
"Renan Oliveira",90,"","086.293.475-38","Ensino Médio","32/13/2000"
"Fernanda Mendonça","","Outro","638.102.795-95","Ensino Fundamental",""
"Maria Sophia Lima","","M","123.456.789-00","",""
"Melina Pinto",20,"","123.456.789-00","",""
"Srta. Isabelly Pinto","","F","123.456.789-00","Doutorado",""
"Sr. Vitor Gabriel Cunha","","","123.456.789-00","","1984-08-24"
"Valentina Aparecida","","Outro","420.819.675-02","Ensino Fundamental",""
"Mathias Ribeiro",47,"Outro","","",""
"Yasmin Borges","","Outro","","Mestrado","32/13/2000"
"Maria Júlia Souza","","","","Ensino Médio",""
"Jade Gomes","","Outro","123.456.789-00","","1945-05-04"
"Sra. Stephany Rocha","","F","","","32/13/2000"
"Caroline Costela","","Outro","283.619.570-30","Ensino Fundamental","1954-11-25"
"Sr. Vitor Silveira","","Outro","","Ensino Fundamental","32/13/2000"
"Kamilly Cassiano",29,"","","Doutorado",""
"Apollo Fogaça",31,"M","","Doutorado","2000-04-10"
"Cecilia Castro","","M","","Mestrado",""
"Felipe Macedo","","","123.456.789-00","Doutorado","32/13/2000"
"Sra. Maria Júlia Pimenta",66,"F","","Graduação",""
"Maria Laura Sousa",81,"M","123.456.789-00","Mestrado",""
"João Pedro Martins","","","264.708.139-50","Graduação",""
"Dra. Brenda Cirino","","","123.456.789-00","Mestrado","1995-02-19"
"Gabriela Marques","","M","","Graduação",""
"Maria Cecília Barros","","Outro","","","32/13/2000"
"Diogo Cavalcanti","","","123.456.789-00","Mestrado",""
"Guilherme Abreu","","Outro","","",""
"Renan Marques","","","","",""
"Francisco Casa Grande",64,"","123.456.789-00","Doutorado","32/13/2000"
"Oliver Cavalcanti",88,"","123.456.789-00","Mestrado",""
"Dr. Mateus Azevedo","","","123.456.789-00","",""
"Maria Sophia Moura","","F","","",""
"Luiza da Luz","","","","Doutorado",""
"Sra. Evelyn Abreu","","","107.589.346-10","",""
"Sr. Anthony Porto","","M","348.602.791-31","","32/13/2000"
"Lucas Gabriel Fernandes",63,"","602.175.398-40","Doutorado",""
